score,size,income
690.7999878,17.88990888,22.69000053
661.2000122,21.52466441,9.824000359
643.6000061,18.69722523,8.977999687
647.7000122,17.35714286,8.977999687
640.8500061,18.67132867,9.080332756
605.5500183,21.40624968,10.41499996
606.75,19.5,6.577000141
609,20.89411765,8.173999786
612.5,19.94736842,7.385000229
612.6500244,20.80555556,11.61333275
615.75,21.23809524,8.930999756
616.2999878,21,7.385000229
616.2999878,20.6,5.335000038
616.2999878,20.0082168,8.279000282
616.4500122,18.02777778,9.630000114
617.3500061,20.25196116,7.453999996
618.0500183,16.97786994,6.21600008
618.3000183,16.50980392,7.763999939
619.7999878,22.7040228,7.021999836
620.2999878,19.91111111,5.698999882
620.5,18.33333333,7.940999985
621.4000244,22.61904762,9.630000114
621.75,19.44827586,7.40500021
622.0500183,25.05263158,9.630000114
622.6000061,20.6754386,8.019000053
623.1000061,18.68235294,8.522999763
623.2000122,22.84552933,7.983181477
623.4500122,19.26666667,7.304999828
623.5999756,19.25,8.934000015
624.1500244,20.54545455,8.553999901
624.5500183,20.60696517,6.612999916
624.9500122,21.0726817,12.4090004
625.2999878,21.53581444,8.126615524
625.8499756,19.904,11.43099976
626.1000061,21.19406845,11.72222519
626.8000183,21.86535487,11.33250046
626.8999939,18.32964571,9.597999573
627.1000061,16.22857143,14.55799961
627.25,19.17857143,22.05999947
627.2999878,20.27736737,9.708999634
628.25,22.98613651,11.48294449
628.3999939,20.44444444,8.17800045
628.5500183,19.82084641,8.173999786
628.6499939,23.20522388,7.5
628.75,19.26696833,10.05049992
629.8000183,23.30188679,7.331999779
630.3500061,21.18828603,12.5815773
630.4000244,20.87179487,15.17700005
630.5499878,19.01749475,12.109128
630.5499878,21.91938023,11.78499985
631.0500183,20.10123735,14.06200027
631.3999939,21.47651007,10.47200012
631.8500061,20.06578887,13.40511703
631.8999939,20.37509463,12.30179977
631.9500122,22.44648221,15.40407085
632,22.8952381,13.76200008
632.2000122,20.49796972,14.18400002
632.25,19.99999973,8.864999771
632.4499817,22.25658055,12.99699974
632.8500061,21.56436292,11.59200001
632.9500122,19.47737125,8.279000282
633.0499878,17.67002015,10.90564251
633.1499939,21.94756162,13.40062523
633.6500244,21.7833935,11.08100033
633.8999939,19.14,9.081999779
634,18.11049724,13.39000034
634.0500183,20.68242507,14.60162544
634.1000061,22.62360802,11.11600018
634.1000061,21.78649874,8.423000336
634.1499939,18.58293121,11.66499996
634.1999817,21.54545455,7.304999828
634.3999939,21.15289185,13.7305994
634.5499878,16.63333333,11.11600018
634.7000122,21.14438309,10.36442852
634.8999939,19.78181818,6.982999802
634.9499817,18.98372889,14.46780014
635.0499878,17.66766807,14.65299988
635.1999817,17.75499125,10.62899971
635.4500122,15.27272727,9.781000137
635.5999756,14,10.65600014
635.6000061,20.59613353,11.93799973
635.75,16.31168831,7.385000229
635.9500122,21.12796209,10.67599964
636.1000061,17.48801236,9.972000122
636.5,17.88679245,8.258000374
636.6000061,19.30675884,8.895999908
636.6999817,20.89230769,12.06200027
636.9000244,21.28683921,9.428894997
636.9500122,20.19559902,8.920332909
637,24.95,10.09799957
637.1000061,18.13043478,11.82999992
637.3500061,20,11.55300045
637.6500244,18.72950849,19.70700073
637.9499817,18.25,7.105000019
637.9500122,18.99256866,13.72500038
638,19.8876413,10.09799957
638.2000122,19.37894737,13.76200008
638.3000183,20.46258503,9.664999962
638.3000183,22.29157348,10.26399994
638.3499756,20.70473927,11.56920052
638.5499878,19.0600526,7.40500021
638.7000122,20.23247029,12.07699966
639.25,19.69012295,11.28299999
639.3000183,20.3625387,10.03499985
639.3500061,19.75422374,8.383999825
639.5,19.37976694,13.63000011
639.75,22.9235094,14.12766743
639.7999878,19.37339756,11.26612473
639.8500061,19.15515578,13.39000034
639.8999939,21.3,11.93799973
640.1000061,18.30357174,8.258000374
